N;threads;Tempo;Total;speedup
10000000;1;0.149346;664579;1.00
10000000;2;0.099334;664579;1.50
20000000;1;0.345560;1270607;1.00
20000000;2;0.216519;1270607;1.60
30000000;1;0.555390;1857859;1.00
30000000;2;0.335259;1857859;1.66
40000000;1;0.758091;2433654;1.00
40000000;2;0.464830;2433654;1.63
50000000;1;1.011305;3001134;1.00
50000000;2;0.651673;3001134;1.55
60000000;1;1.223291;3562115;1.00
60000000;2;0.751475;3562115;1.63
70000000;1;1.531321;4118064;1.00
70000000;2;0.873474;4118064;1.75
80000000;1;1.634169;4669382;1.00
80000000;2;0.996617;4669382;1.64
90000000;1;1.836730;5216954;1.00
90000000;2;1.142269;5216954;1.61
100000000;1;2.094549;5761455;1.00
100000000;2;1.310195;5761455;1.60
